Dataset,test_f1_macro_mean_GE-11,test_f1_macro_mean_GE-3,test_f1_macro_mean_GE-5,test_f1_macro_mean_GE-7,test_f1_macro_mean_GE-9,test_f1_macro_mean_HARF-70,test_f1_macro_mean_HARF-75,test_f1_macro_mean_HARF-80,test_f1_macro_mean_HARF-85,test_f1_macro_mean_HARF-90,test_f1_macro_mean_ORBoost-11,test_f1_macro_mean_ORBoost-15,test_f1_macro_mean_ORBoost-19,test_f1_macro_mean_ORBoost-3,test_f1_macro_mean_ORBoost-7
1004_synthetic_control_20_0.csv.gz,0.828542288223196,0.737083628251245,0.7852882782860537,0.8052447098274134,0.8179494194099383,0.786668441025903,0.7522047864223557,0.7182067225339814,0.6767069903641796,0.6408430998160263,0.668852753448548,0.6613726902956796,0.6751891947138389,0.6652410358870273,0.6925491602282677
1004_synthetic_control_20_1.csv.gz,0.8246859921459135,0.7365375159724574,0.789437398156968,0.811133461954893,0.8155088954993197,0.7950278554851938,0.7569638919933886,0.7233317968422155,0.6819286716370334,0.6438374319162729,0.6654248697587193,0.6246906363911563,0.6381721924015147,0.7032817548289912,0.72211388370428
1004_synthetic_control_20_2.csv.gz,0.8839927099750402,0.7731514174577525,0.8355652652804566,0.8584950609969705,0.8744956086829806,0.8443432438455061,0.8095999270698779,0.7693210574800703,0.7253244199581124,0.6736725237430167,0.5477900103312793,0.5346415109593056,0.5800848702804718,0.5401204872849598,0.6590034455282993
1004_synthetic_control_20_3.csv.gz,0.804989281893513,0.7254405489486894,0.7654526416094457,0.788294172231643,0.798190055252058,0.7694896458217351,0.7300852235893975,0.6898741724786512,0.6529739338044819,0.6227625391339617,0.688832390021088,0.6747253246397513,0.661947819392972,0.7169497301902217,0.7499227653405736
1004_synthetic_control_20_4.csv.gz,0.8601201975488267,0.7874695750329046,0.8318723826787139,0.8459112566152054,0.8541089326510642,0.8285498264661542,0.8081039303614622,0.7782723139144422,0.7375349727663647,0.6934995056260428,0.6634925892110354,0.6611050105635928,0.6559577258373777,0.6927960771543041,0.7034637403401013
1004_synthetic_control_20_5.csv.gz,0.8811078556699186,0.7826392992375574,0.8431077690718848,0.8599370093464178,0.8735468171967581,0.8480118643093176,0.8155088893664548,0.7785371798692796,0.7340065591279573,0.6798244832974821,0.5972130867901635,0.6126215840375128,0.6237214355589769,0.5992130803666885,0.6589252781685114
1004_synthetic_control_20_6.csv.gz,0.809125157708436,0.7347912053019704,0.7740014473908549,0.7916502107322454,0.806642567143937,0.7680641622287662,0.7318505676726015,0.69277986014119,0.6583678700048189,0.6309913199804192,0.6470273489366082,0.6229525603219646,0.6182828131560866,0.7046791713478788,0.6836341177603618
1004_synthetic_control_20_7.csv.gz,0.8386592502178035,0.7590882246602392,0.802651278781221,0.8246986993910685,0.8351859050896651,0.8059240805571882,0.7774116448081171,0.7440598841950888,0.704961525350833,0.6700514900163871,0.6769611106458943,0.6081404810542764,0.6365589379798522,0.7604624206505423,0.685606957133338
1004_synthetic_control_20_8.csv.gz,0.8500836355545056,0.7592943335022998,0.8129778655929236,0.8298412898259461,0.8439083211671359,0.8214946744344797,0.7936997970734536,0.756369597317467,0.7219944407560661,0.6770974432625882,0.6455087388415768,0.6307967880644417,0.6760690658433112,0.6600678678181957,0.6798384148546394
1004_synthetic_control_20_9.csv.gz,0.854222062162727,0.7646178539680341,0.8095187016064426,0.8332309459321788,0.8492322696278023,0.8120390143905211,0.7800094732401389,0.7437821159638038,0.7040482726145427,0.666780211305549,0.6496189549086318,0.5765401718275563,0.6308256591514599,0.7106715265480911,0.7021172829363497
1004_synthetic_control_5_0.csv.gz,0.9122181566294123,0.8970305114338024,0.9253876795912493,0.9247177222464839,0.9143320020231309,0.9275822041881243,0.9178685255422637,0.9016030056031723,0.8821275127499052,0.8474301309691009,0.5808089159781695,0.6086804335995041,0.617325541010526,0.6393664218464099,0.6084442340430259
1004_synthetic_control_5_1.csv.gz,0.9173831644612025,0.8929654913018006,0.9285724122946771,0.9309992246786183,0.9245608936173025,0.929057531960161,0.9192935782869671,0.8997043528340448,0.871931703850684,0.8332870797012604,0.625448700440292,0.705963712608179,0.7202899974159704,0.6573106150521913,0.7005939553428303
1004_synthetic_control_5_2.csv.gz,0.9174348411177818,0.8900063272991896,0.9244624090908802,0.9264614856872452,0.9191752673279434,0.9268180188665884,0.9126337343485362,0.8948533877537816,0.8689600047036464,0.8284392811903757,0.5889096502632263,0.6579089558719734,0.6556710878050981,0.6113778057666823,0.6708621373698332
1004_synthetic_control_5_3.csv.gz,0.9060628435792267,0.8898781753441994,0.917607528054594,0.9192324907194438,0.9077856603817773,0.9252377483643816,0.9136398961625235,0.8957008110410825,0.8705342962423167,0.8273710582397485,0.5987965957469839,0.6969451084399383,0.6692529234521122,0.5618367848497892,0.6783627501833572
1004_synthetic_control_5_4.csv.gz,0.9069037799158981,0.8890802883614823,0.9140281671842402,0.9170795186335491,0.905637142397422,0.9221784888036771,0.9115860298567996,0.8928838603558396,0.8695640359110338,0.8313224258769444,0.6230193095025107,0.6850516232028804,0.6860312389091812,0.5746771819126101,0.7067430755935229
1004_synthetic_control_5_5.csv.gz,0.9074225830046337,0.8936972369549445,0.91815947541432,0.9229667707668527,0.9138410255881264,0.9256482702444319,0.9126902847115249,0.896454685819646,0.8714218732087867,0.8292356103160132,0.611736081281364,0.6661423482837308,0.6803395072712219,0.6480186762863973,0.7095673925301638
1004_synthetic_control_5_6.csv.gz,0.9203526797278023,0.9112318929730538,0.9281748614967219,0.9269496930527376,0.9199196865074173,0.9306881888500682,0.9224125783154605,0.9122064151775398,0.8974257678457821,0.867968948644356,0.48879994142907335,0.5286833238712491,0.49242139473254243,0.6798416441150756,0.515714207948638
1004_synthetic_control_5_7.csv.gz,0.9103431800441217,0.8917768879880628,0.9214912281275622,0.9240985474959981,0.9122511212418627,0.9283332018412159,0.9175912205293594,0.8988211235357555,0.8746942513238022,0.8309855859492644,0.6325958415937976,0.7123659316588783,0.708335765081136,0.6072997291043923,0.7112476202042045
1004_synthetic_control_5_8.csv.gz,0.9183540880689754,0.9084913229739571,0.9313879191901562,0.9329801697552716,0.9183705423446458,0.9386928061314181,0.9295327803036102,0.9141880969943296,0.8908179397685468,0.8516450976562823,0.5788223172600151,0.6488568817729715,0.6339139174986823,0.6428594207545192,0.6348477591646572
1004_synthetic_control_5_9.csv.gz,0.9107953694013817,0.894632773641827,0.9230173612314972,0.9243009415024547,0.9102021877911749,0.9259847276084818,0.9157535662688043,0.8976289999858644,0.8761037470603954,0.8385461934028174,0.6138660102652027,0.6799616599704413,0.6726688558196967,0.5910657346055329,0.6529204989163985
1005_glass_10_0.csv.gz,0.7727634574958828,0.7039722733894207,0.7352498200379511,0.7579831222004343,0.7790854813545763,0.7255872283004666,0.6888084136231744,0.6638803682950709,0.6355296681022143,0.623669888967884,0.8401005791271012,0.8318517447203397,0.822755106959667,0.8210248318157827,0.842047143275107
1005_glass_10_1.csv.gz,0.8538178367713948,0.7915301196873693,0.8199610519572146,0.8370329608025178,0.8494822018888261,0.79790410022787,0.770835307550888,0.7347497710292181,0.7117825911611475,0.6911423376255097,0.8214213788647993,0.8292722156986015,0.7923472643727233,0.8216178225272011,0.8117391726009573
1005_glass_10_2.csv.gz,0.8555304816330691,0.7680132879791668,0.8131042557892484,0.8261030380281436,0.8500923123564816,0.799905831139807,0.7666782831603212,0.7359160232412482,0.7118831594063648,0.687542901119235,0.773094617014635,0.7356830041240129,0.7537113570141466,0.8083014998702021,0.7167476968619959
1005_glass_10_3.csv.gz,0.8422558696620024,0.7685529792535521,0.8076031249612445,0.8202085706088731,0.8381049711017868,0.7920308470505628,0.7568923242879023,0.7312109591195635,0.7106634735614089,0.6826142309466877,0.7203840113971676,0.7187827411394448,0.7182704091888441,0.7573722827305766,0.704187284859331
